feedback_text,source
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,Amazon
Iam very pleased with my purchase.,Amazon
Gets the job done.,Amazon
Great audio!.,Amazon
"I've only had my bluetooth for a few weeks, but I really like it.",Amazon
It is so small and you don't even realize that it is there after a while of getting used to it.,Amazon
The accompanied software is almost brilliant.,Amazon
Headset works great & was packaged nicely to avoid any damage.,Amazon
!I definitly recommend!!,Amazon
Very good stuff for the price.,Amazon
My headset works just peachy-keen.,Amazon
Voice recognition is tremendous!,Amazon
I got this phone on reccomendation from a relative and I'm glad I did.,Amazon
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,Amazon
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",Amazon
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,Amazon
"Nice quality build, unlike some cheap s*** out there.",Amazon
This item is fantastic and works perfectly!,Amazon
And I just love the colors!,Amazon
W810i is just SUPERB.,Amazon
Great charger.,Amazon
Works like a charm; it work the same as the one I got with the phone.,Amazon
Great Value.,Amazon
"The look of it is very sharp and the screen is nice and clear, with great graphics.",Amazon
EXCELLENT SERVICE!!!!!!!!.,Amazon
The iGo chargers and tips are really great.,Amazon
The file browser offers all the options that one needs.Handsfree is great.,Amazon
Superb Phone on a Great Network.,Amazon
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",Amazon
The sound quality is good and functionality is awesome.,Amazon
Incredible!.,Amazon
Great phone!.,Amazon
Any ring tone..Overall good phone to buy..,Amazon
Lately they have been extremely nice and helpful on the phone.,Amazon
"Light weight, I hardly notice it is there.",Amazon
You'll love how thin it is.,Amazon
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",Amazon
All in all I think it was a good investment.,Amazon
The best electronics of the available FM Transmitters.,Amazon
"great headset, very impressed - H500.",Amazon
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",Amazon
I've had this for nearly 2 years and it has worked great for me.,Amazon
Good transmit audio.,Amazon
Great price also!,Amazon
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",Amazon
fast service.,Amazon
I would highly recommend this.,Amazon
I would recommend this.,Amazon
I'm still infatuated with this phone.,Amazon
"Simple, lightweight and great fit.",Amazon
These are certainly very comfortable and functionality is decent.,Amazon
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,Amazon
Great sound and service.,Amazon
Really pleased with this product so far.,Amazon
One of my favorite purchases ever.,Amazon
best bluetooth on the market.,Amazon
Authentic leather with nice shine and comfort .I recommend you this case !!,Amazon
I was very excited to get this headset because I thought it was really cute.,Amazon
Worth every penny.,Amazon
Excellent wallet type phone case.,Amazon
Nice headphones for the price and they work great!,Amazon
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",Amazon
"It's fits like a glove and is strong, secure, and durable.",Amazon
O my gosh the best phone I have ever had.,Amazon
It's very attractive and appears to be of good quality.,Amazon
I love all the features and form factor.,Amazon
Great Earpiece.,Amazon
Excellent hands free tool.,Amazon
Great for using with your home stereo.,Amazon
Good product - incredible value.,Amazon
Only had this a month but it's worked flawlessly so far.,Amazon
Works great.,Amazon
Battery life is real good.,Amazon
It's a great item.,Amazon
Love this headset!,Amazon
Worked perfectly!,Amazon
I gave it 5 stars because of the sound quality.,Amazon
Reversible plug works great.,Amazon
Very good phone.,Amazon
"Best of all is the rotating feature, very helpful.",Amazon
Comfort for our whole family.,Amazon
"Good product, good seller.",Amazon
I love this bluetooth!,Amazon
I am very impressed with this headset from Plantronics.,Amazon
I got it because it was so small and adorable.,Amazon
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",Amazon
Great Phone.,Amazon
Excellent Phone.,Amazon
The voice recognition thru the handset is excellent.,Amazon
This is hands down the best phone I've ever had.,Amazon
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",Amazon
This one works and was priced right.,Amazon
Now I know that I made a wise decision.,Amazon
Someone shouldve invented this sooner.,Amazon
Good price.,Amazon
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,Amazon
I received it quickly and it works great!!,Amazon
Has been working great.,Amazon
"This is a good battery, and it got here really fast.",Amazon
Also its slim enough to fit into my alarm clock docking station without removing the case.,Amazon
Phone now holds charge like it did when it was new.,Amazon
We have gotten a lot of compliments on it.,Amazon
This is definitely a must have if your state does not allow cell phone usage while driving.,Amazon
I love this device.,Amazon
I am also very happy with the price.,Amazon
I was able to do voice dialing in the car with no problem.,Amazon
"good item, low price.",Amazon
VERY comfortable.,Amazon
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,Amazon
The reception is excellent!,Amazon
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",Amazon
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",Amazon
Excellent sound quality.,Amazon
New Battery works great in phone.,Amazon
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",Amazon
Good audio quality.,Amazon
This little device has transformed my organizational capability and made my life a whole lot easier.,Amazon
Works like a charm.. Works as advertised.,Amazon
"Comfortable, Nice Range, Good Battery Life.",Amazon
"The microphone also works well, but (according to people I have called) it applifies everything.",Amazon
Nice design and quality.,Amazon
"It is light, easy to use, and has very clear reception and transmission.",Amazon
It definitely was not as good as my S11.,Amazon
awesome device.,Amazon
"I had ordered a motorola data cable, got a very well finished and working product.",Amazon
Love This Phone.,Amazon
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,Amazon
Display is excellent and camera is as good as any from that year.,Amazon
Battery life is also great!,Amazon
Protects the phone on all sides.,Amazon
"Clear Skype Calls, Long Battery Life, Long Range.",Amazon
Great Hands Free Device.,Amazon
"you can even take self portraits with the outside (exterior) display, very cool.",Amazon
After trying many many handsfree gadgets this is the one that finally works well.,Amazon
Magical Help.,Amazon
The best phone in market :).,Amazon
It worked very well.,Amazon
The company shipped my product very promptly and it works well.,Amazon
Exactly what I wanted.,Amazon
This is a great deal.,Amazon
"Excellent product, I am very satisfied with the purchase.",Amazon
I highly recommend these and encourage people to give them a try.,Amazon
Better than you'd expect.,Amazon
Great product and price.,Amazon
"Sounds good reasonably priced and effective, Its that simple !",Amazon
Very prompt service.,Amazon
Excellent product for the price.,Amazon
Very pleased with this headset.,Amazon
I especially love the long battery life.,Amazon
Plantronics Bluetooth Excelent Buy.,Amazon
I highly recommend this device to everyone!,Amazon
Jawbone Era is awesome too!,Amazon
"I have used several phone in two years, but this one is the best.",Amazon
An Awesome New Look For Fall 2000!.,Amazon
Price is good too.,Amazon
I'm using it with an iriver SPINN (with case) and it fits fine.,Amazon
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",Amazon
"every thing on phone work perfectly, she like it.",Amazon
IT'S REALLY EASY.,Amazon
My Sanyo has survived dozens of drops on blacktop without ill effect.,Amazon
Fantastic earphones.,Amazon
It finds my cell phone right away when I enter the car.,Amazon
I highly recommend this modest priced cellular phone.,Amazon
But it does get better reception and clarity than any phone I've had before.,Amazon
Awsome Device Works Great!!.,Amazon
Restored my phone to like new performance.,Amazon
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",Amazon
"I searched the Internet, and found this one to be the best value.",Amazon
Very happy with this product.,Amazon
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",Amazon
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",Amazon
Portable and it works.,Amazon
"My colleague & I now get great reception.A little expensive, but performance is great.",Amazon
Timely shipment and quality product.,Amazon
Nice solid keyboard.,Amazon
Very well made and fits my Surefire GX2 perfectly.,Amazon
We would recommend these to others.,Amazon
The battery works great!,Amazon
"Looks great and is strong.""",Amazon
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",Amazon
Great software for Motorolas.,Amazon
The delivery was on time.,Amazon
Very easy to use.,Amazon
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",Amazon
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,Amazon
"After charging overnight, these batteries work great.",Amazon
You won't regret it!,Amazon
I love this phone!.,Amazon
This PDA rocks.,Amazon
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",Amazon
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",Amazon
I had Verizon 2 years ago and really liked their service.,Amazon
Works as described.,Amazon
WELL IM SATISFIED.,Amazon
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",Amazon
This battery is an excellent bargain!,Amazon
I wear glasses and it fits fine with them.,Amazon
great...no problems at all!.,Amazon
This frog phone charm is adorable and very eye catching.,Amazon
The sound is clear and the people I talk to on it are amazed at the quality too.,Amazon
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,Amazon
"very good product, well made.",Amazon
Mobile Phone Tools are a must have.,Amazon
I am very impressed with the job that Motorola did on the sturdiness of this phone.,Amazon
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",Amazon
The phone is sturdy and waterproof.,Amazon
Thanks again to Amazon for having the things I need for a good price!,Amazon
I ended up sliding it on the edge of my pants or back pockets instead.,Amazon
I had to go to a store and bought a new NOKIA phone which is working great.,Amazon
The noise shield is incrediable.,Amazon
Razr Battery - Good buy.,Amazon
Keep up the good work Amazon!!,Amazon
Great case and price!,Amazon
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",Amazon
"Small, sleek, impressive looking, practical setup with ample storage in place.",Amazon
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,Amazon
I am glad I purchased it.,Amazon
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",Amazon
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",Amazon
"I love the camera, it's really pretty good quality.",Amazon
Thank you for such great service.,Amazon
Its a total package.,Amazon
"The seller is very understanding and patient, I would definitely buy from them again.",Amazon
Great product for the price!.,Amazon
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",Amazon
Virgin Wireless rocks and so does this cheap little phone!,Amazon
"All in all, I'm quite satisfied with this purchase.",Amazon
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",Amazon
Great Product.,Amazon
This fixes all the problems.,Amazon
I am very happy,Amazon
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",Amazon
It does everything the description said it would.,Amazon
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",Amazon
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",Amazon
Better than expected.,Amazon
Battery is holding up well.,Amazon
Linked to my phone without effort.,Amazon
THey are so cool!,Amazon
Easy to use.,Amazon
Better Than New.,Amazon
A pretty good product.,Amazon
This is a great phone!.,Amazon
"For the price on Amazon, it is an excellent product, which I would highly recommend.",Amazon
Their Research and Development division obviously knows what they're doing.,Amazon
Those phones are working just fine now.,Amazon
I am more than happy with this product.,Amazon
"Overall, I would recommend this phone over the new Walkman.",Amazon
It fits my ear well and is comfortable on.,Amazon
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,Amazon
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,Amazon
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,Amazon
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,Amazon
This is a great product..... sure beats using your fingers!.,Amazon
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,Amazon
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,Amazon
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",Amazon
I did not have any problem with this item and would order it again if needed.,Amazon
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",Amazon
im surprised this is a good quality car charger and there's not much reviews about it.,Amazon
These are fabulous!,Amazon
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,Amazon
Very wind-resistant.,Amazon
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",Amazon
Phone is sturdy as all nokia bar phones are.,Amazon
Great phone.,Amazon
I'm pleased.,Amazon
I found the product to be easy to set up and use.,Amazon
"No ear loop needed, it's tiny and the sound is great.",Amazon
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",Amazon
I'm happy about this purchase- good quality and low price.,Amazon
I love the look and feel of Samsung flipphones.,Amazon
Its well-designed and very sharp -- the blue is a very nice color.,Amazon
Does everything it should and more.,Amazon
Nice Sound.,Amazon
Much less than the jawbone I was going to replace it with.,Amazon
Setup went very smoothly.,Amazon
"It is well made, easy to access the phone and has a handy, detachable belt clip.",Amazon
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",Amazon
The volume for the ringer is REAL good (you have choices how loud).,Amazon
I love the ringtones because they are so upbeat!,Amazon
Easy to pair with my Samsung Cell.,Amazon
Works well.,Amazon
Clear crisp sound.,Amazon
"I have to use the smallest earpieces provided, but it stays on pretty well.",Amazon
The phone can also take great pictures and even video clips.,Amazon
"Because both ears are occupied, background is not distracting at all.",Amazon
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",Amazon
You can't beat the price on these.,Amazon
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",Amazon
lightweight and works well.,Amazon
I love this cable - it allows me to connect any mini-USB device to my PC.,Amazon
This is cool because most cases are just open there allowing the screen to get all scratched up.,Amazon
Appears to actually outperform the original battery from China that came with my V325i.,Amazon
"jabra ear gels ""R"" the best!.",Amazon
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",Amazon
It was a great phone.,Amazon
"Good value, works fine - power via USB, car, or wall outlet.",Amazon
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,Amazon
This is simply the BEST bluetooth headset for sound quality!,Amazon
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",Amazon
I have always used corded headsets and the freedom from the wireless is very helpful.,Amazon
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",Amazon
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",Amazon
It has everything I need and I couldn't ask for more.,Amazon
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,Amazon
T-Mobile has the best customer service anywhere.,Amazon
Arrived quickly and much less expensive than others being sold.,Amazon
"Provides good protection and looks classy, too.",Amazon
Krussel Always good.,Amazon
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",Amazon
The design is very good.4.,Amazon
I great reception all the time.,Amazon
I would highly recommend this product.,Amazon
Fantastic buy and will get again for whatever my next phone is,Amazon
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,Amazon
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,Amazon
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",Amazon
Blue Ant is easy to use.,Amazon
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,Amazon
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,Amazon
The sound quality is excellent as well.,Amazon
Its the best headset I have used.,Amazon
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,Amazon
Just what I wanted.,Amazon
Great product.,Amazon
Crisp and Clear.,Amazon
The reception has been generally good.,Amazon
"Excellent sound, battery life and inconspicuous to boot!.",Amazon
Great bluetooth!.,Amazon
I highly recommend this case.,Amazon
WORTHWHILE.,Amazon
It is simple to use and I like it.,Amazon
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",Amazon
I own 2 of these cases and would order another.,Amazon
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,Amazon
Perfect for the PS3.,Amazon
"Five star Plus, plus.",Amazon
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,Amazon
"Good , works fine.",Amazon
For the price this was a great deal.,Amazon
"Great price, too!",Amazon
Yes it's shiny on front side - and I love it!,Amazon
The reception through this headset is excellent.,Amazon
2 thumbs up to this seller,Amazon
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",Amazon
#1 It Works - #2 It is Comfortable.,Amazon
Battery charge-life is quite long.,Amazon
The Jabra EarGels fit my ears very well.,Amazon
Product is exactly as described.,Amazon
Gets a signal when other Verizon phones won't.,Amazon
I would recommend it.,Amazon
Plan on ordering from them again and again.,Amazon
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",Amazon
I have been very satisfied with this cell phone from day one.,Amazon
They keep getting better and better (this is my third one and I've had numerous Palms too).,Amazon
The shipping time was also very quick!,Amazon
Good case!.,Amazon
Really good product.,Amazon
It looks very nice.,Amazon
"This is an excellent tool, especially when paired with your phone's auto-answer.",Amazon
I have read other's reviews here but I haven't had any problem with it.,Amazon
Comfortable in my hand.,Amazon
(It works!),Amazon
So far it has worked like a charm.,Amazon
"I have only had it for a few weeks, but so far, so good.",Amazon
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",Amazon
Would recommend this item.,Amazon
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,Amazon
"Nice case, feels good in your hands.",Amazon
"Just really good.. So far, probably the best BT headset I have ever had.",Amazon
Works fine.,Amazon
I received my headset in good time and was happy with it.,Amazon
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,Amazon
My sister has one also and she loves it.,Amazon
Good Quality.,Amazon
Excellent dual-purpose headset.,Amazon
Excellent!.,Amazon
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",Amazon
The only good thing was that it fits comfortably on small ears.,Amazon
"I am pairing this with my iphone, and I could not be happier with it so far.",Amazon
Best headset ever!!!.,Amazon
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,Amazon
"Fits comfortably, came with three sizes of earbud tips.",Amazon
It was quite comfortable in the ear.,Amazon
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,Amazon
The cutouts and buttons are placed perfectly.,Amazon
I love being able to use one headset for both by land-line and cell.,Amazon
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",Amazon
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",Amazon
Seller shipped quickly and much cheaper than the competitors.,Amazon
"Good show, Samsung.",Amazon
So I bought about 10 of these and saved alot of money.,Amazon
Leopard Print is wonderfully wild!.,Amazon
Works for me.,Amazon
much better than the hard plastic cases.,Amazon
Happy so far!.,Amazon
cool phone.,Amazon
Works good.,Amazon
Motorola finally got the voice quality of a bluetooth headset right.,Amazon
"but it is great, i would really recommend it",Amazon
"You get extra minutes so that you can carry out the call and not get cut off.""",Amazon
The headset fulfills my requirements so I am happy with my purchase.,Amazon
Logitech Bluetooth Headset is a 10!.,Amazon
"I like the fact that it rests lightly against your ear, rather than inside.",Amazon
A lot of websites have been rating this a very good phone and so do I.,Amazon
I have tried these cables with my computer and my iPod and it works just fine.,Amazon
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,Amazon
I have had mine for about a year and this Christmas I bought some for the rest of the family.,Amazon
"Otherwise, easy to install and use, clear sound.",Amazon
nice leather.,Amazon
It is a joy to use.,Amazon
Very satisifed with that.,Amazon
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,Amazon
Just reading on the specs alone makes you say WOW.,Amazon
Love it.. Great armband.,Amazon
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,Amazon
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,Amazon
I was very impressed with the price of the cases.,Amazon
Also makes it easier to hold on to.,Amazon
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",Amazon
It's pretty easy.,Amazon
Beautiful styling though.,Amazon
Excellent product.,Amazon
It is the best charger I have seen on the market yet.,Amazon
SWEETEST PHONE!!!,Amazon
":-)Oh, the charger seems to work fine.",Amazon
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,Amazon
Wow... Loved this place.,Yelp
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,Yelp
The selection on the menu was great and so were the prices.,Yelp
The fries were great too.,Yelp
A great touch.,Yelp
Service was very prompt.,Yelp
"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",Yelp
Highly recommended.,Yelp
"The food, amazing.",Yelp
Service is also cute.,Yelp
I could care less... The interior is just beautiful.,Yelp
So they performed.,Yelp
That's right....the red velvet cake.....ohhh this stuff is so good.,Yelp
"This hole in the wall has great Mexican street tacos, and friendly staff.",Yelp
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",Yelp
I found this place by accident and I could not be happier.,Yelp
"Overall, I like this place a lot.",Yelp
The only redeeming quality of the restaurant was that it was very inexpensive.,Yelp
Ample portions and good prices.,Yelp
My first visit to Hiro was a delight!,Yelp
The shrimp tender and moist.,Yelp
"On a positive note, our server was very attentive and provided great service.",Yelp
The only thing I did like was the prime rib and dessert section.,Yelp
"The burger is good beef, cooked just right.",Yelp
If you want a sandwich just go to any Firehouse!!!!!,Yelp
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",Yelp
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,Yelp
He came running after us when he realized my husband had left his sunglasses on the table.,Yelp
Their chow mein is so good!,Yelp
The portion was huge!,Yelp
"Loved it...friendly servers, great food, wonderful and imaginative menu.",Yelp
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",Yelp
This place receives stars for their APPETIZERS!!!,Yelp
The cocktails are all handmade and delicious.,Yelp
We'd definitely go back here again.,Yelp
We are so glad we found this place.,Yelp
"Great food and service, huge portions and they give a military discount.",Yelp
Always a great time at Dos Gringos!,Yelp
Update.....went back for a second time and it was still just as amazing,Yelp
A great way to finish a great.,Yelp
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",Yelp
"- Really, really good rice, all the time.",Yelp
The sweet potato fries were very good and seasoned well.,Yelp
Today is the second time I've been to their lunch buffet and it was pretty good.,Yelp
This place has it!,Yelp
I love the Pho and the spring rolls oh so yummy you have to try.,Yelp
All I have to say is the food was amazing!!!,Yelp
Omelets are to die for!,Yelp
Everything was fresh and delicious!,Yelp
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",Yelp
Best breakfast buffet!!!,Yelp
Will be back again!,Yelp
Food arrived quickly!,Yelp
"On the up side, their cafe serves really good food.",Yelp
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",Yelp
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",Yelp
"Best Buffet in town, for the price you cannot beat it.",Yelp
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",Yelp
This is one of the better buffets that I have been to.,Yelp
So we went to Tigerlilly and had a fantastic afternoon!,Yelp
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",Yelp
The ambience is wonderful and there is music playing.,Yelp
Will go back next trip out.,Yelp
Sooooo good!!,Yelp
This is a really fantastic Thai restaurant which is definitely worth a visit.,Yelp
"Nice, spicy and tender.",Yelp
Good prices.,Yelp
Check it out.,Yelp
Service was fine and the waitress was friendly.,Yelp
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",Yelp
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",Yelp
"Phenomenal food, service and ambiance.",Yelp
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",Yelp
Penne vodka excellent!,Yelp
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",Yelp
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",Yelp
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",Yelp
I had a seriously solid breakfast here.,Yelp
This is one of the best bars with food in Vegas.,Yelp
My drink was never empty and he made some really great menu suggestions.,Yelp
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,Yelp
The bathrooms are clean and the place itself is well decorated.,Yelp
My fiancé and I came in the middle of the day and we were greeted and seated right away.,Yelp
This is a great restaurant at the Mandalay Bay.,Yelp
Some highlights : Great quality nigiri here!,Yelp
the staff is friendly and the joint is always clean.,Yelp
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,Yelp
