feedback_text,source
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,Amazon
I want my money back.,Amazon
I ordered this product first and was unhappy with it immediately.,Amazon
The Ngage is still lacking in earbuds.,Amazon
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",Amazon
"However-the riingtones are not the best, and neither are the games.",Amazon
The plug did not work very well.,Amazon
AMAZON SUCKS.,Amazon
Rip off---- Over charge shipping.,Amazon
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,Amazon
Obviously there is a problem with the adhesive.,Amazon
Very disappointing.,Amazon
"It was an inexpensive piece, but I would still have expected better quality.",Amazon
It is practically useless and did not add any kind of boost to my reception after I bought it.,Amazon
Was not happy.,Amazon
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,Amazon
Worst customer service.,Amazon
Reception is terrible and full of static.,Amazon
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",Amazon
Were JERKS on the phone.,Amazon
Their network coverage in Los Angeles is horrible.,Amazon
Excellent starter wireless headset.,Amazon
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",Amazon
The only thing that I think could improve is the sound leaks out from the headset.,Amazon
"First off the reception sucks, I have never had more than 2 bars, ever.",Amazon
The phone gets EXTREMELY HOT!,Amazon
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",Amazon
"bad fit, way too big.",Amazon
Waste of money.,Amazon
"I'll be drivng along, and my headset starts ringing for no reason.",Amazon
The worst phone I've ever had.... Only had it for a few months.,Amazon
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,Amazon
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,Amazon
This is a VERY average phone with bad battery life that operates on a weak network.,Amazon
Soyo technology sucks.,Amazon
Same problem as others have mentioned.,Amazon
The worst piece of crap ever along with the Verizon customer service.,Amazon
Poor sound quality.,Amazon
The picture resolution is far below what other comparably-priced phones are offering today.,Amazon
"Using all earpieces, left or right, this thing will not stay on my ear.",Amazon
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,Amazon
what a disappointment,Amazon
don't waste your money and time.,Amazon
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",Amazon
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,Amazon
I'll be looking for a new earpiece.,Amazon
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,Amazon
After a year the battery went completely dead on my headset.,Amazon
This is the first phone I've had that has been so cheaply made.,Amazon
"Att is not clear, sound is very distorted and you have to yell when you talk.",Amazon
The plastic breaks really easy on this clip.,Amazon
Don't make the same mistake I did.,Amazon
Oh and I forgot to also mention the weird color effect it has on your phone.,Amazon
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,Amazon
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",Amazon
Low Quality.,Amazon
Warning - Stay away.,Amazon
I wish I could return the unit and get back my money.,Amazon
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,Amazon
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",Amazon
Very Displeased.,Amazon
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",Amazon
They made this case too small and is very difficult to install.,Amazon
Does not fit.,Amazon
There's really nothing bad I can say about this headset.,Amazon
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,Amazon
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,Amazon
Not good when wearing a hat or sunglasses.,Amazon
Horrible phone.,Amazon
BT50 battery junk!.,Amazon
Cant get the software to work with my computer.,Amazon
Disappointed!.,Amazon
poor voice clarity.,Amazon
No buyers remorse on this one!.,Amazon
Very disappointed in AccessoryOne.,Amazon
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,Amazon
The update procedure is difficult and cumbersome.,Amazon
Disappointment.. I hate anything that goes in my ear.,Amazon
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",Amazon
The volume switch rocketed out of the unit to a destination unknown.,Amazon
I'd like to return it.,Amazon
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",Amazon
A Disappointment.,Amazon
Its not user friendly.,Amazon
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,Amazon
"Then I exchanged for the same phone, even that had the same problem.",Amazon
This results in the phone being either stuck at max volume or mute.,Amazon
Pretty piece of junk.,Amazon
Plug was the wrong size.,Amazon
Save your money.... I've had this item for 11 months now.,Amazon
Bad Purchase.,Amazon
Defective crap.,Amazon
I would have given no star if I was able.,Amazon
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",Amazon
I would not recommend this item to anyone.,Amazon
The holster that arrived did not match the photo in the ad.,Amazon
"As an earlier review noted, plug in this charger and nothing happens.",Amazon
You never know if you pushed it hard enough or the right number of times for the function you want or not.,Amazon
I am not impressed with this and i would not recommend this item to anyone.,Amazon
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),Amazon
REALLY UGLY.,Amazon
"horrible, had to switch 3 times.",Amazon
No real improvement.,Amazon
They refuse to refund or replace.,Amazon
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,Amazon
So I basically threw my money out the window for nothing.,Amazon
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,Amazon
none of the new ones have ever quite worked properly.,Amazon
I've missed numerous calls because of this reason.,Amazon
"Perhaps my phone is defective, but people cannot hear me when I use this.",Amazon
"sucked, most of the stuff does not work with my phone.",Amazon
Worst software ever used.... If I could give this zero stars I would.,Amazon
Trying to make a call on these is an exercise in frustration.,Amazon
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,Amazon
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,Amazon
It's AGGRAVATING!,Amazon
"None of it works, just don't buy it.",Amazon
"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",Amazon
Please dont waste your money.,Amazon
"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",Amazon
Yet Plantronincs continues to use the same flawed charger design.,Amazon
Disapointing Results.,Amazon
Cumbersome design.,Amazon
It's A PIECE OF CRAP!,Amazon
"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",Amazon
Worst ever.,Amazon
"I can barely ever hear on it and am constantly saying ""what?""",Amazon
The battery life is highly unacceptable.,Amazon
That company is a joke.,Amazon
Due to this happening on every call I was forced to stop using this headset.,Amazon
"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",Amazon
"Voice Quality, Signal Strength, Dropped Calls.",Amazon
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",Amazon
Also difficult to put on.I'd recommend avoiding this product.,Amazon
"I only used it two days, and it wasn't always easy to hear with.",Amazon
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,Amazon
Sprint - terrible customer service.,Amazon
"What possesed me to get this junk, I have no idea...",Amazon
Piece of trash.,Amazon
"The real killer is the volume, and of course it breaking.",Amazon
Poor Construction.,Amazon
This is infuriating.,Amazon
Sprint charges for this service.,Amazon
"It is cheap, and it feel and look just as cheap.",Amazon
It doesn't work in Europe or Asia.,Amazon
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,Amazon
the charger worked for about a week and then completely stopped charging my phone.,Amazon
Poor product.,Amazon
However I needed some better instructions.,Amazon
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,Amazon
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",Amazon
DO NOT BUY DO NOT BUYIT SUCKS,Amazon
"Plus, I seriously do not believe it is worth its steep price point.",Amazon
Very Dissapointing Performance.,Amazon
Don't make the same mistake that I did and please don't buy this phone.,Amazon
This phone might well be the worst I've ever had in any brand.,Amazon
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,Amazon
Don't bother - go to the store.,Amazon
You get what you pay for I guess.,Amazon
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",Amazon
Disappointing accessory from a good manufacturer.,Amazon
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",Amazon
"Obviously they have a terrible customer service, so you get what you pay for.",Amazon
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",Amazon
Linksys should have some way to exchange a bad phone for a refurb unit or something!,Amazon
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",Amazon
Battery is terrible.,Amazon
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,Amazon
Utter crap.. Sound quality is TERRIBLE.,Amazon
"The charger arrived within the promised timeframe, but it did not work.",Amazon
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",Amazon
Talk about USELESS customer service.,Amazon
"It felt too light and ""tinny."".",Amazon
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,Amazon
I could not recommend these more.,Amazon
"Looks good in the picture, but this case was a huge disappointment!!",Amazon
its extremely slow and takes forever to do anything with it.,Amazon
"A must study for anyone interested in the ""worst sins"" of industrial design.",Amazon
The first thing that happened was that the tracking was off.,Amazon
Then I had to continue pairing it periodically since it somehow kept dropping.,Amazon
Can't upload ringtones from a third party.,Amazon
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",Amazon
Truly awful.,Amazon
And none of the tones is acceptable.,Amazon
camera color balance is AWFUL.,Amazon
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",Amazon
Chinese Forgeries Abound!.,Amazon
The instructions didn't explain that a microphone jack could be used.,Amazon
i would advise to not purchase this item it never worked very well.,Amazon
Too bad you have to pay up to $$$ a month for the service!,Amazon
The nokia CA-42 USB cable did not work with my phone.,Amazon
"The biggest complaint I have is, the battery drains superfast.",Amazon
The design might be ergonomic in theory but I could not stand having these in my ear.,Amazon
Do NOT buy if you want to use the holster.,Amazon
It doesn't make you look cool.,Amazon
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",Amazon
So just beware.,Amazon
So anyone near you will hear part of your conversation.,Amazon
I bought this phone as a replacement for my StarTac and have regretted it since.,Amazon
Can't store anything but phone numbers to SIM.,Amazon
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",Amazon
Poor quality.,Amazon
Not worth it.,Amazon
The phone crashed completely and now I have to get it replaced.,Amazon
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",Amazon
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,Amazon
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,Amazon
After receiving and using the product for just 2 days it broke.,Amazon
None of the three sizes they sent with the headset would stay in my ears.,Amazon
We have tried 2 units and they both failed within 2 months.. Pros,Amazon
"Couldn't use the unit with sunglasses, not good in Texas!",Amazon
It dit not work most of the time with my Nokia 5320.,Amazon
"Bought mainly for the charger, which broke soon after purchasing.",Amazon
"stay away from this store, be careful.",Amazon
disappointing.,Amazon
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,Amazon
Then a few days later the a puff of smoke came out of the phone while in use.,Amazon
The nano stated it.My son was dissapointed.,Amazon
Would not reccommend.,Amazon
This particular model would not work with my Motorola Q smartphone.,Amazon
wont work right or atleast for me.,Amazon
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,Amazon
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",Amazon
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",Amazon
AFter the first charge kept going dead after 12 minutes.,Amazon
"VERY cheap plastic, creaks like an old wooden floor.",Amazon
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",Amazon
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",Amazon
I am sorry I made this purchase.,Amazon
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,Amazon
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,Amazon
It was horrible!.,Amazon
I don't think it would hold it too securly on your belt.,Amazon
This allows the possibility of double booking for the same date and time after the first.,Amazon
They work about 2 weeks then break.,Amazon
I can't use this case because the smell is disgusting.,Amazon
NOT WHAT I WANTED.,Amazon
"The internet access was fine, it the rare instance that it worked.",Amazon
$50 Down the drain.,Amazon
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,Amazon
"If there is a wind, it is completely useless.",Amazon
Does Not Work.,Amazon
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",Amazon
Improper description.... I had to return it.,Amazon
Battery has no life.,Amazon
I checked everywhere and there is no feature for it which is really disappointing.,Amazon
Doesn't do the job.,Amazon
Awkward to use and unreliable.,Amazon
Not as good as I had hoped.,Amazon
Doesn't Work.,Amazon
Unfortunately it did not work.,Amazon
All three broke within two months of use.,Amazon
dont buy it.,Amazon
"My father has the V265, and the battery is dying.",Amazon
"However, the ear pads come off easily and after only one week I lost one.",Amazon
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",Amazon
"Horrible, horrible protector.",Amazon
I don't like this Nokia either.,Amazon
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",Amazon
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,Amazon
It would take too long to describe how bad my customer service experience has been with Amazon.,Amazon
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,Amazon
Terrible.. My car will not accept this cassette.,Amazon
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",Amazon
It's not what it says it is.,Amazon
Stay Away From the Q!.,Amazon
Used and dirty.,Amazon
Very unreliable service from T-mobile !,Amazon
Not good enough for the price.,Amazon
I bought two of them and neither will charge.,Amazon
These products cover up the important light sensor above the ear outlet.,Amazon
Just does not work.,Amazon
Poor Reliability.,Amazon
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",Amazon
"Terrible product, and waste of money!",Amazon
Last time buying from you.,Amazon
It was a waste of my money.,Amazon
The item received was Counterfeit.,Amazon
This is by far the worst purchase I've made on Amazon.,Amazon
Does not work for listening to music with the cingular 8125.,Amazon
"The bottowm line...another worthless, cheap gimmick from Sprint.",Amazon
Having trouble with volume.,Amazon
WARNING - DO NOT BUY!!.,Amazon
"When it opens, the battery connection is broken and the device is turned off.",Amazon
"I didn't want the clip going over the top of my ear, causing discomfort.",Amazon
Don't trust their website and don't expect any helpful support.,Amazon
The speaker is of low quality so as making the ring tones sound very cheap.,Amazon
Bad Reception.,Amazon
This product is very High quality Chinese CRAP!!!!!!,Amazon
Don't buy this product - It fails!.,Amazon
Everything about this product is wrong.First,Amazon
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",Amazon
Terrible phone holder.,Amazon
Problem is that the ear loops are made of weak material and break easily.,Amazon
Not nearly as good looking as the AMAZON picture makes it look.,Amazon
How stupid is that?,Amazon
It always cuts out and makes a beep beep beep sound then says signal failed.,Amazon
Couldn't figure it out,Amazon
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",Amazon
So I had to take the battery out of the phone put it all back together and then restart it.,Amazon
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",Amazon
"Saggy, floppy piece of junk.",Amazon
It also had a new problem.,Amazon
It looses connection to the phone even when it is within a couple feet between the two.,Amazon
Makes it easier to keep up with my bluetooth when I'm not wearing it.,Amazon
As I said above....PRETTY USELESS!,Amazon
Never got it!!!!!,Amazon
This pair of headphones is the worst that I have ever had sound-wise.,Amazon
[...] down the drain because of a weak snap!,Amazon
Does not charge the Cingular (ATT) 8525 phone.,Amazon
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",Amazon
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,Amazon
"The mic there is a joke, and the volume is quite low.",Amazon
I'm returning them.,Amazon
I does not maintain a connection with the computer while it is on my lap.,Amazon
I had to purchase a different case.,Amazon
Very much disappointed with this company.,Amazon
It didn't charge for me.,Amazon
Buttons are too small.,Amazon
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",Amazon
I cannot make calls at certain places.,Amazon
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",Amazon
This company charge me a restocking fee and still not given me my refund back.,Amazon
I'm trying to return it for a refund.,Amazon
I plugged it in only to find out not a darn thing worked.,Amazon
Earbud piece breaks easily.,Amazon
Lousy product.,Amazon
This phone tries very hard to do everything but fails at it's very ability to be a phone.,Amazon
Not enough volume.,Amazon
Echo Problem....Very unsatisfactory,Amazon
you could only take 2 videos at a time and the quality was very poor.,Amazon
don't waste your money.,Amazon
I am going to have to be the first to negatively review this product.,Amazon
Adapter does not provide enough charging current.,Amazon
"There was so much hype over this phone that I assumed it was the best, my mistake.",Amazon
You also cannot take pictures with it in the case because the lense is covered.,Amazon
Phone falls out easily.,Amazon
"It didn't work, people can not hear me when I talk.",Amazon
The text messaging feature is really tricky to use.,Amazon
I'm really disappointed all I have now is a charger that doesn't work.,Amazon
Painful on the ear.,Amazon
Lasted one day and then blew up.,Amazon
disappointed.,Amazon
Kind of flops around.,Amazon
The screen does get smudged easily because it touches your ear and face.,Amazon
What a piece of junk.. I lose more calls on this phone.,Amazon
Item Does Not Match Picture.,Amazon
The only thing that disappoint me is the infra red port (irda).,Amazon
"You can not answer calls with the unit, never worked once!",Amazon
Crust is not good.,Yelp
Not tasty and the texture was just nasty.,Yelp
Now I am getting angry and I want my damn pho.,Yelp
Honeslty it didn't taste THAT fresh.),Yelp
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,Yelp
Would not go back.,Yelp
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,Yelp
I was disgusted because I was pretty sure that was human hair.,Yelp
I was shocked because no signs indicate cash only.,Yelp
Waitress was a little slow in service.,Yelp
"This place is not worth your time, let alone Vegas.",Yelp
did not like at all.,Yelp
The Burrittos Blah!,Yelp
- They never brought a salad we asked for.,Yelp
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",Yelp
The worst was the salmon sashimi.,Yelp
This was like the final blow!,Yelp
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",Yelp
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",Yelp
Service sucks.,Yelp
There is not a deal good enough that would drag me into that establishment again.,Yelp
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,Yelp
"Frozen pucks of disgust, with some of the worst people behind the register.",Yelp
It's too bad the food is so damn generic.,Yelp
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",Yelp
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,Yelp
Not much seafood and like 5 strings of pasta at the bottom.,Yelp
"The ripped banana was not only ripped, but petrified and tasteless.",Yelp
At least think to refill my water before I struggle to wave you over for 10 minutes.,Yelp
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,Yelp
The service was meh.,Yelp
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",Yelp
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",Yelp
The scallop dish is quite appalling for value as well.,Yelp
2 times - Very Bad Customer Service !,Yelp
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,Yelp
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,Yelp
walked in and the place smelled like an old grease trap and only 2 others there eating.,Yelp
The turkey and roast beef were bland.,Yelp
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,Yelp
The poor batter to meat ratio made the chicken tenders very unsatisfying.,Yelp
"In summary, this was a largely disappointing dining experience.",Yelp
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",Yelp
say bye bye to your tip lady!,Yelp
We'll never go again.,Yelp
It was not good.,Yelp
"REAL sushi lovers, let's be honest - Yama is not that good.",Yelp
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",Yelp
It was pretty gross!,Yelp
I've had better atmosphere.,Yelp
